res_type,n
ARG,45665
ASN,52898
ASP,71251
CYS,16521
GLN,36523
GLU,56269
HIS,29350
ILE,70800
LEU,113667
LYS,34014
MET,16543
MSE,1560
PHE,55514
PRO,58719
SER,75167
THR,74186
TRP,18512
TYR,46594
VAL,95938
